id,actual_label,predicted_label,match,final_verdict,risk_level,feature_score,llm_score,final_score,source,phishing_type,subject,links,features,llm_result
1,0,0,True,Legitimate,Low,0,25,25,enron,legitimate,,[],"{'suspicious_keywords_found': [], 'num_suspicious_keywords': 0, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Medium
Confidence Score: 75
Final Verdict: Phishing
Short Reason: The email is highly suspicious because it refers to a report from 2001 as ""now available,"" which is a clear chronological deception inconsistent with legitimate current notifications. While it lacks an explicit malicious link, this major red flag suggests a social engineering attempt."
2,0,0,True,Legitimate,Low,8,10,18,enron,legitimate,,[],"{'suspicious_keywords_found': ['update'], 'num_suspicious_keywords': 1, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 100
Final Verdict: Legitimate
Short Reason: This is an internal email chain between Enron employees discussing work-related topics and scheduling meetings, with no indicators of phishing such as suspicious links, urgency, or requests for sensitive information from an external party."
3,0,0,True,Legitimate,Low,0,25,25,enron,legitimate,,[],"{'suspicious_keywords_found': [], 'num_suspicious_keywords': 0, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Medium
Confidence Score: 85
Final Verdict: Phishing
Short Reason: The email lacks a clear sender identity, using ""Your secret admirer"" instead, which is an unusual social engineering tactic to elicit a response. This ambiguity and unusual tone indicate a potential pretexting attempt or a probe for further malicious interaction."
4,0,0,True,Legitimate,Low,0,25,25,synthetic2026,legitimate,"Performance feedback Hi team, sharing the latest notes from today's sync. Next steps are attached in the document. Let me know your thoughts. Appreciate your feedback on this draft. Best, Casey Khan",[],"{'suspicious_keywords_found': [], 'num_suspicious_keywords': 0, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Medium
Confidence Score: 85
Final Verdict: Phishing
Short Reason: The email uses a subject line (""Performance feedback"") and mentions an attached document for ""next steps,"" which are common social engineering tactics to prompt recipients to open potentially malicious attachments in a phishing attempt. While the tone and grammar are otherwise professional, the implied attachment is a significant risk."
5,1,0,False,Legitimate,Low,23,10,33,synthetic2026,social_engineering_advanced,,[],"{'suspicious_keywords_found': ['payment'], 'num_suspicious_keywords': 1, 'urgency_words_found': ['right now'], 'has_urgency': True, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
6,0,0,True,Legitimate,Low,0,10,10,enron,legitimate,,[],"{'suspicious_keywords_found': [], 'num_suspicious_keywords': 0, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
7,1,0,False,Legitimate,Low,16,10,26,synthetic2026,generic_phishing,,[],"{'suspicious_keywords_found': ['click', 'update'], 'num_suspicious_keywords': 2, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
8,0,0,True,Legitimate,Low,8,10,18,enron,legitimate,,[],"{'suspicious_keywords_found': ['payment'], 'num_suspicious_keywords': 1, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
9,1,1,True,Suspicious,Medium,15,25,40,synthetic2026,threats,,[],"{'suspicious_keywords_found': [], 'num_suspicious_keywords': 0, 'urgency_words_found': ['action required'], 'has_urgency': True, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Medium
Confidence Score: 55
Final Verdict: Phishing
Short Reason: Gemini was unavailable, so fallback analysis was used. Urgency language appeared with a suspicious account/payment/action-related term."
10,0,0,True,Legitimate,Low,5,10,15,enron,legitimate,,['http://www.5starweb.co.uk/fun/bush.htm'],"{'suspicious_keywords_found': [], 'num_suspicious_keywords': 0, 'urgency_words_found': [], 'has_urgency': False, 'has_links': True, 'num_links': 1, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
