id,actual_label,predicted_label,match,final_verdict,risk_level,feature_score,llm_score,final_score,source,phishing_type,subject,links,features,llm_result
5,1,0,False,Legitimate,Low,23,10,33,synthetic2026,social_engineering_advanced,,[],"{'suspicious_keywords_found': ['payment'], 'num_suspicious_keywords': 1, 'urgency_words_found': ['right now'], 'has_urgency': True, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
7,1,0,False,Legitimate,Low,16,10,26,synthetic2026,generic_phishing,,[],"{'suspicious_keywords_found': ['click', 'update'], 'num_suspicious_keywords': 2, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
12,1,0,False,Legitimate,Low,0,10,10,synthetic2026,tech_support,,[],"{'suspicious_keywords_found': [], 'num_suspicious_keywords': 0, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
18,0,1,False,Suspicious,Medium,28,10,38,enron,legitimate,,"['http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BCJO0Aq', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC420Az', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC7u0AB', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC7v0AC', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC7w0AD', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC7x0AE', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC7y0AF', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC450A3', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC7z0AG', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC710A2', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC430A1', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC720A3', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BC730A4', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu06VY0At', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0BCJC0Ae', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu04pB0Au', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0RVU0AJ', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0FWL0Ax', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0bIi0Ag', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0FWQ0A3', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0FWP0A2', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu04o40Af', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0FWN0Az', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu04o10Ac', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu0bIc0Aa', 'http://enews.buy.com/cgi-bin5/flo?y=eE4N0D4S5I0Blu04pH0A1', 'http://enews.buy.com/cgi-bin5/profile?y=eE4N0D4S5I0BluP']","{'suspicious_keywords_found': ['click'], 'num_suspicious_keywords': 1, 'urgency_words_found': [], 'has_urgency': False, 'has_links': True, 'num_links': 27, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
19,1,0,False,Legitimate,Low,0,10,10,synthetic2026,tech_support,,[],"{'suspicious_keywords_found': [], 'num_suspicious_keywords': 0, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
20,0,1,False,Phishing,High,34,40,74,enron,legitimate,,['http://www.nymexaccess.com'],"{'suspicious_keywords_found': ['password', 'login', 'access'], 'num_suspicious_keywords': 3, 'urgency_words_found': [], 'has_urgency': False, 'has_links': True, 'num_links': 1, 'has_email_addresses': True, 'num_email_addresses': 2}","Risk Level: High
Confidence Score: 70
Final Verdict: Phishing
Short Reason: Gemini was unavailable, so fallback analysis was used. Multiple phishing indicators were detected in combination."
27,1,0,False,Legitimate,Low,16,10,26,synthetic2026,generic_phishing,,[],"{'suspicious_keywords_found': ['click', 'update'], 'num_suspicious_keywords': 2, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
30,1,0,False,Legitimate,Low,8,10,18,synthetic2026,romance_dating,,[],"{'suspicious_keywords_found': ['payment'], 'num_suspicious_keywords': 1, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
35,1,0,False,Legitimate,Low,0,10,10,synthetic2026,threats,,[],"{'suspicious_keywords_found': [], 'num_suspicious_keywords': 0, 'urgency_words_found': [], 'has_urgency': False, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
36,1,0,False,Legitimate,Low,23,10,33,synthetic2026,social_engineering_advanced,,[],"{'suspicious_keywords_found': ['payment'], 'num_suspicious_keywords': 1, 'urgency_words_found': ['right now'], 'has_urgency': True, 'has_links': False, 'num_links': 0, 'has_email_addresses': False, 'num_email_addresses': 0}","Risk Level: Low
Confidence Score: 50
Final Verdict: Legitimate
Short Reason: Gemini was unavailable, so fallback analysis was used. No strong phishing indicator combinations were detected."
